index,Encoder,Algorithm,F1,Recall,Precision,Accuracy,random_seed,Stage,Type-Encoder
58,ARGP820101_physicochemical_properties,DecisionTree,0.7642276422764228,0.8103448275862069,0.7230769230769231,0.7642276422764228,42,Validation,PHY-Based
59,ARGP820101_physicochemical_properties,RandomForest,0.782608695652174,0.7758620689655172,0.7894736842105263,0.7967479674796748,42,Validation,PHY-Based
60,ARGP820101_physicochemical_properties,AdaBoost,0.8103448275862069,0.8103448275862069,0.8103448275862069,0.8211382113821138,42,Validation,PHY-Based
61,ARGP820101_physicochemical_properties,GradientBoosting,0.831858407079646,0.8103448275862069,0.8545454545454545,0.8455284552845529,42,Validation,PHY-Based
62,ARGP820101_physicochemical_properties,ExtraTrees-ensemble,0.8141592920353983,0.7931034482758621,0.8363636363636363,0.8292682926829268,42,Validation,PHY-Based
63,CRAJ730102_physicochemical_properties,SVC,0.7130434782608696,0.7068965517241379,0.7192982456140351,0.7317073170731707,42,Validation,PHY-Based
64,CRAJ730102_physicochemical_properties,KNN,0.773109243697479,0.7931034482758621,0.7540983606557377,0.7804878048780488,42,Validation,PHY-Based
65,CRAJ730102_physicochemical_properties,DecisionTree,0.8403361344537815,0.8620689655172413,0.819672131147541,0.8455284552845529,42,Validation,PHY-Based
66,CRAJ730102_physicochemical_properties,RandomForest,0.7966101694915254,0.8103448275862069,0.7833333333333333,0.8048780487804879,42,Validation,PHY-Based
67,CRAJ730102_physicochemical_properties,AdaBoost,0.8070175438596491,0.7931034482758621,0.8214285714285714,0.8211382113821138,42,Validation,PHY-Based
68,CRAJ730102_physicochemical_properties,GradientBoosting,0.7899159663865546,0.8103448275862069,0.7704918032786885,0.7967479674796748,42,Validation,PHY-Based
69,CRAJ730102_physicochemical_properties,ExtraTrees-ensemble,0.8166666666666667,0.8448275862068966,0.7903225806451613,0.8211382113821138,42,Validation,PHY-Based
70,ANDN920101_physicochemical_properties,SVC,0.6557377049180327,0.6896551724137931,0.625,0.6585365853658537,42,Validation,PHY-Based
71,ANDN920101_physicochemical_properties,KNN,0.773109243697479,0.7931034482758621,0.7540983606557377,0.7804878048780488,42,Validation,PHY-Based
72,ANDN920101_physicochemical_properties,DecisionTree,0.7666666666666667,0.7931034482758621,0.7419354838709677,0.7723577235772358,42,Validation,PHY-Based
73,ANDN920101_physicochemical_properties,RandomForest,0.782608695652174,0.7758620689655172,0.7894736842105263,0.7967479674796748,42,Validation,PHY-Based
74,ANDN920101_physicochemical_properties,AdaBoost,0.7350427350427351,0.7413793103448276,0.7288135593220338,0.7479674796747967,42,Validation,PHY-Based
75,ANDN920101_physicochemical_properties,GradientBoosting,0.8,0.7931034482758621,0.8070175438596491,0.8130081300813008,42,Validation,PHY-Based
76,ANDN920101_physicochemical_properties,ExtraTrees-ensemble,0.8135593220338984,0.8275862068965517,0.8,0.8211382113821138,42,Validation,PHY-Based
77,ROBB760113_physicochemical_properties,SVC,0.8108108108108109,0.7758620689655172,0.8490566037735849,0.8292682926829268,42,Validation,PHY-Based
78,ROBB760113_physicochemical_properties,KNN,0.743801652892562,0.7758620689655172,0.7142857142857143,0.7479674796747967,42,Validation,PHY-Based
79,ROBB760113_physicochemical_properties,DecisionTree,0.7301587301587301,0.7931034482758621,0.6764705882352942,0.7235772357723578,42,Validation,PHY-Based
80,ROBB760113_physicochemical_properties,RandomForest,0.7787610619469026,0.7586206896551724,0.8,0.7967479674796748,42,Validation,PHY-Based
81,ROBB760113_physicochemical_properties,AdaBoost,0.7580645161290323,0.8103448275862069,0.7121212121212122,0.7560975609756098,42,Validation,PHY-Based
82,ROBB760113_physicochemical_properties,GradientBoosting,0.7768595041322314,0.8103448275862069,0.746031746031746,0.7804878048780488,42,Validation,PHY-Based
83,ROBB760113_physicochemical_properties,ExtraTrees-ensemble,0.7857142857142857,0.7586206896551724,0.8148148148148148,0.8048780487804879,42,Validation,PHY-Based
